FacilityID,Name,FacilityType,Town,State,Latitude,Longitude,OpeningHours,Parking,ParkingAccessible,Accessible,BabyChange,BabyCareRoom,DumpPoint,Shower,DrinkingWater,MLAK24,PaymentRequired,Is_24_Hour
2493,Le Grand Beach,Beach,Cape Le Grand,WA,-33.97942419,122.11962079,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2494,Lucky Bay,Camping ground,Cape Le Grand,WA,-33.96730518,122.26731698,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2495,Wharton Bay,Other,Condingup,WA,-33.94230224,122.56357752,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2496,Alexander Bay,Camping ground,Howick,WA,-33.89067458,122.89742341,OPEN: 24 hours,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2497,Thomas River,Other,Cape Arid,WA,-33.87070925,123.00055986,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2500,Cascade Hall,Car park,Cascade,WA,-33.4697877,121.07405087,OPEN: Variable hours,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2501,Quagi Beach,Beach,Coomalbidgup,WA,-33.82924995,121.29210948,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2502,Stokes Inlet National Park,Park or reserve,Coomalbidgup,WA,-33.83224476,121.14191845,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2503,Munglingup Beach,Beach,East Munglinup,WA,-33.88751774,120.8052867,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
2506,King George V Gardens,Park or reserve,Wangaratta,VIC,-36.35272224,146.3258053,OPEN: Daylight hours,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2508,Car Park 3,Car park,Wangaratta,VIC,-36.35616197,146.32655139,OPEN: Daylight hours,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2509,Merriwa Park Bike Hub,Other,Wangaratta,VIC,-36.35685963,146.32455292,OPEN: 24 hours,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
2510,Merriwa Park,Park or reserve,Wangaratta,VIC,-36.35837965,146.32375491,OPEN: Daylight hours,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2511,Apex Park,Park or reserve,Wangaratta,VIC,-36.35216728,146.33080082,OPEN: 24 hours,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2512,HP Barr Reserve,Sporting facility,Wangaratta,VIC,-36.3438744,146.31468845,OPEN: Daylight hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2513,Rotary Park,Park or reserve,Wangaratta,VIC,-36.34674248,146.3121444,OPEN: Daylight hours,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2514,Wareena Park,Sporting facility,Wangaratta,VIC,-36.35884079,146.30930135,OPEN: Daylight hours,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2515,Batchelors Green,Park or reserve,Wangaratta,VIC,-36.35978404,146.3152453,OPEN: Daylight hours,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2516,South Wangaratta Reserve,Sporting facility,Wangaratta,VIC,-36.37133918,146.2830615,Currently closed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2517,Bindall Avenue,Sporting facility,Wangaratta,VIC,-36.37700436,146.3226906,OPEN: Variable hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2518,Scout Park,Park or reserve,Wangaratta,VIC,-36.36639901,146.32077701,OPEN: Daylight hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2519,Mitchell Avenue Reserve,Park or reserve,Wangaratta,VIC,-36.3757672,146.31769426,OPEN: Daylight hours,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2520,Show Grounds,Sporting facility,Wangaratta,VIC,-36.34580531,146.31793995,OPEN: Daylight hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2521,Show Grounds- Sports Development Centre,Sporting facility,Wangaratta,VIC,-36.34633324,146.31630775,OPEN: Variable hours,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2522,Cemetery,Cemetery,Wangaratta,VIC,-36.37358476,146.29099007,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2523,Ned Kelly Discovery Hub  Glenrowan,Other,Glenrowan,VIC,-36.46336359,146.22334559,OPEN: 24 hours,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
2524,Gunhouse Park,Park or reserve,Eldorado,VIC,-36.30899738,146.52177298,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2525,Memorial Park,Park or reserve,Ilfracombe,QLD,-23.48954959,144.5060798,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
2526,Museum Park,Park or reserve,Ilfracombe,QLD,-23.48935685,144.5073004,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2527,Railway Station,Train station,Ilfracombe,QLD,-23.48918552,144.5077502,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2530,"Colo River Park, Blaxlands Ridge",Park or reserve,Blaxlands Ridge,NSW,-33.43350922,150.82851998,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2532,Lower Portland,Park or reserve,Lower Portland,NSW,-33.43806945,150.88355565,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2534,Sackville  - Wharf Reserve,Park or reserve,Sackville North,NSW,-33.50134986,150.87543456,OPEN: 24 hours,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2535,Bellbird Hill Reserve,Park or reserve,Kurrajong Heights,NSW,-33.53898372,150.6331985,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2536,Powell Park,Park or reserve,Kurrajong Heights,NSW,-33.53957407,150.63120424,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2537,McMahon Park,Park or reserve,Kurrajong,NSW,-33.55195853,150.65659563,OPEN: 24 hours,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2538,Memorial Park,Park or reserve,Kurrajong,NSW,-33.55417937,150.66536433,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2539,Woodbury Reserve,Sporting facility,Glossodia,NSW,-33.53065091,150.764779,OPEN: Variable hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2540,Glossodia Shops,Shopping centre,Glossodia,NSW,-33.53174879,150.76734106,OPEN: Mon-Fri 9am-4pm,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2541,Freemans Reach Park,Park or reserve,Freemans Reach,NSW,-33.55922542,150.80452895,OPEN: 6am-8pm,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2542,Crown Reserve,Park or reserve,Wilberforce,NSW,-33.55384219,150.84085969,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2544,Woodlands Park,Park or reserve,Wilberforce,NSW,-33.54918895,150.85859707,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2545,Argyle Bailey Memorial Reserve,Park or reserve,Ebenezer,NSW,-33.5375536,150.8891488,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2546,North Richmond Park,Park or reserve,North Richmond,NSW,-33.57962025,150.7227525,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2547,Richmond Park,Park or reserve,Richmond,NSW,-33.59775395,150.75063399,OPEN: Daylight hours,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2548,Smith Park,Park or reserve,Richmond Lowlands,NSW,-33.59286929,150.7432982,OPEN: 24 hours,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
